Nom;Catégorie;Energie (kcal);Protéines;Glucides;Lipides
Jus de raisin;"Fruits/Jus de fruits;Boissons sans alcool/Jus de fruits et de légumes";62;0,2;15;0,1
Sucre de raisin;Sucreries/Sucres et édulcorants;399;0;99,8;0
Viande séchée ( du Grison, du Tessin, du Valais);Produits carnés et charcuterie/Produits de charcuterie crus;190;39,3;0,4;3,5
Dinde, poitrine, escalope ou émincé, grillée (sans adjonction de graisse ni de sel);Viande et abats/Volaille;146;32,4;0;1,8
Dinde, poitrine, escalope ou émincé, crue;Viande et abats/Volaille;108;24;0;1,3
Vacherin Mont d'Or;Lait et produits laitiers/Fromage à pâte molle;280;17,6;0;23,2
Crème à la vanille, cuite;Sucreries/Crèmes et pouding;140;3,2;23,8;3,6
Vinaigrette (avec huile de colza);Graisses et huiles/Sauces à salade;259;4,4;2,3;25,2
Vitello tonnato avec garniture;Viande et abats/Veau;179;19,2;0,8;11
Vitello tonnato sans garniture;Viande et abats/Veau;208;23,2;0,5;12,6
Gallette de riz complet;Pains, flocons et céréales pour le petit-déjeuner/Pains croustillants, biscottes, crackers et gallettes;392;8,2;81,5;2,8
Lait entier, pasteurisé;Lait et produits laitiers/Lait;68;3,3;4,7;4
Lait entier, UHT;Lait et produits laitiers/Lait;68;3,3;4,6;4,1
Lait entier en poudre;Lait et produits laitiers/Lait;480;24,7;35,1;26,2
Crème entière, pasteurisée;"Graisses et huiles/Crème;Lait et produits laitiers/Crème et beurre";334;2;3,1;34,8
Crème entière, UHT;"Graisses et huiles/Crème;Lait et produits laitiers/Crème et beurre";334;2;3,1;34,9
Jambon cuit de devant;Produits carnés et charcuterie/Produits de charcuterie cuits;106;18,6;0,4;3,3
Beurre de choix;"Graisses et huiles/Graisses;Lait et produits laitiers/Crème et beurre";746;0,7;0,7;82,3
Pain de seigle valaisan;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;220;6,3;42,7;1,1
Pâte wasabi;Divers/Sauces;308;2,9;49,6;10,6
Glace à l'eau;Sucreries/Glaces à base d'eau;88;0;22;0
Caramel mou;Sucreries/Bonbons, bonbons gélifiés aux fruits et chewing-gums;448;2,1;71,1;17,2
Fromage à pâte molle (en moyenne sans produits en matières grasses reduites);Lait et produits laitiers/Fromage à pâte molle;324;19,3;0;27,4
Fromage à pâte molle, double crème;Lait et produits laitiers/Fromage à pâte molle;363;12;0;35
Vin rouge, 12 vol%;Boissons alcoolisées/Vin;69;0,2;0,3;0
Vin rouge, 13.5 vol%;Boissons alcoolisées/Vin;76;0;0,2;0
Vin rouge, 9 vol%;Boissons alcoolisées/Vin;54;0,2;0,2;0
Vin blanc, 11 vol%;Boissons alcoolisées/Vin;70;0,1;2;0
Vin blanc, 12.5 vol%;Boissons alcoolisées/Vin;71;0,2;0,1;0
Vin blanc dilué avec de l'eau gazeuse;Boissons alcoolisées/Vin;35;0,1;0;0
Vin blanc dilué avec limonade;Boissons alcoolisées/Vin;55;0,1;4,8;0
Pain blanc;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;242;8,5;48,9;0,8
Chou blanc, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);30;1,4;4,2;0,2
Chou blanc, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);32;1,5;4,5;0,2
Chou blanc, cru;Légumes/Légumes frais;30;1,4;4,2;0,2
Saucisse blanche;Produits carnés et charcuterie/Produits de charcuterie bouillis;202;9,8;0,9;17,7
Blé tendre, grains entiers;Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers;325;10,9;59,6;1,8
Blé, flocons complets;Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes;329;11,7;61;2
Huile de germes de blé;Graisses et huiles/Huiles;809;0;0;89,9
Son de blé;Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes;262;14,9;17,7;4,6
Farine de blé (farine blanche), type 550;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;344;12;69,5;1,3
Farine de blé (farine mi-blanche), type 720;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;340;13;66,2;1,5
Farine de blé (farine bise), type 1100;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;339;13,5;64,6;1,7
Farine de blé, complète, type 1700;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;338;13,5;61;2
Farine de blé (farine fleur), type 400;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;346;11,5;71;1,1
Potée au blé, cuite;Plats/Autres plats salés/épicés;171;5,1;27,7;3
Amidon de blé ;"Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;Divers/Gélifiants et liants";348;0,4;85,8;0,1
Pain complet de froment;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;213;8,6;38,3;1,3
Vermouth, 15 vol% (p.e. Martini);Boissons alcoolisées/Vin;139;0,1;13,5;0
Saucisse de Vienne;Produits carnés et charcuterie/Produits de charcuterie bouillis;242;13,9;0,6;20,4
Saucisse de Vienne, cuit;Produits carnés et charcuterie/Produits de charcuterie bouillis;235;13,5;0,6;19,8
Gibier (moyenne), cuit (sans adjonction de graisse ni de sel);Viande et abats/Gibier;158;28,9;0;4,7
Gibier (moyenne), cru;Viande et abats/Gibier;115;21,1;0;3,4
Terrine de gibier;Viande et abats/Gibier;286;17,3;1,8;23
Sanglier (moyenne), cru;Viande et abats/Gibier;109;19,5;0;3,4
Chou frisé, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);31;2,8;2,9;0,3
Chou frisé, cru;Légumes/Légumes frais;31;2,8;2,9;0,3
Salade de cervelas et fromage, préparée;Plats/Salades;264;13,9;0,8;22,6
Salade de cervelas, préparée;Plats/Salades;226;7,1;1,6;21
Légumes racines et tubercules (moyenne), à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);40;1,1;6,6;0,3
Légumes racines et tubercules (moyenne), à l'étuvée (sans adjonctions de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);35;1;5,8;0,3
Légumes racines et tubercules (moyenne), cuites (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);38;1;6,3;0,3
Légumes racines et tubercules (moyenne), crues;Légumes/Légumes frais;36;1;6;0,3
Zampone;Viande et abats/Porc;361;19,1;0;31,6
Chèvre (moyenne), crue;Viande et abats/Autres espèces animales;149;19,5;0;7,9
Lait de chèvre;Lait et produits laitiers/Lait;57;2,8;4,2;3,2
Sérac;Lait et produits laitiers/Fromage frais et séré;123;11,1;3,3;7,2
Etoiles à la cannelle;Sucreries/Biscuits;481;11,9;49;24,9
Jus de citron;"Fruits/Jus de fruits;Boissons sans alcool/Jus de fruits et de légumes";30;0,4;6,1;0,3
Piccata de courges, préparée;Plats/Autres plats salés/épicés;151;5,4;6,4;11,3
Courgette, à la vapeur (sans sel ni graisse);Légumes/Légumes cuits (conserves comprises);25;2,4;2,6;0,3
Courgette, crue;Légumes/Légumes frais;19;1,8;2;0,2
Tranches de courgette, panées, préparées;Plats/Autres plats salés/épicés;128;5,2;13,4;5,6
Sucre, roux, complet;Sucreries/Sucres et édulcorants;390;0;97,6;0
Sucre, blanc;Sucreries/Sucres et édulcorants;400;0;100;0
Chicorée pain de sucre, crue;Légumes/Légumes frais;16;1,2;1,5;0,2
Maïs doux, conserve;Légumes/Légumes cuits (conserves comprises);100;3;18,2;1,2
Maïs doux  (conserve), réchauffé (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);107;3,2;19,4;1,3
Tourte au Kirsch de Zug;Sucreries/Gâteaux, tourtes et cakes;335;4,8;34,6;18,7
Langue (moyenne de veau et boeuf), crue;"Viande et abats/Veau;Viande et abats/Bœuf";188;16,6;2,8;12,3
Quetsche, cuite, égoutée (sans adjonction de sucre);Fruits/Fruits cuits (conserves comprises);53;0,7;10,9;0,1
Tarte aux quetsches, cuite au four (pâte feuilletée);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";133;2,5;14,6;6,8
Tarte aux quetsches, cuite au four (pâte à gateau);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";125;2,9;16,8;4,7
Biscottes;Pains, flocons et céréales pour le petit-déjeuner/Pains croustillants, biscottes, crackers et gallettes;428;14,7;69,6;9,5
Biscottes complètes;Pains, flocons et céréales pour le petit-déjeuner/Pains croustillants, biscottes, crackers et gallettes;412;17,7;61,2;9
Oignon, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);46;1,6;8,4;0,2
Oignon, grillés (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);92;3,1;16,7;0,5
Oignon, cru;Légumes/Légumes frais;39;1,3;7;0,2
Gateau aux oignons, cuit au four (pâte feuilletée);Plats/Tartes sucrées et salées et gratins;178;4,6;13,3;11,5
