Nom;Catégorie;Energie (kcal);Protéines;Glucides;Lipides
Pois, grain mature, décortiqué, sec;Produits céréaliers, légumineuses et pommes de terre/Légumineuses;331;21,3;51,9;1,7
Pois, grain mature, cuit (sans adjonction de graisse ni de sel);Produits céréaliers, légumineuses et pommes de terre/Légumineuses;142;9,1;22,3;0,7
Petit-pois et carottes, conserve;Légumes/Légumes cuits (conserves comprises);67;3,8;9,6;0,5
Petits-pois et carottes, réchauffés (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);71;4;10,2;0,5
Cacahuète;Noix, graines et produits oléagineux;600;26;11,2;48,5
Flips aux cacahuètes;Snacks salés/Chips;506;13,2;56,5;24,2
Cacahuète, grillée;Noix, graines et produits oléagineux;593;25,3;8,6;49
Beurre d'arachides;Sucreries/Confitures et produits à tartiner sucrés;638;22,6;12,2;53,7
Huile d'arachide;Graisses et huiles/Huiles;809;0;0;89,9
Expresso crème, non sucré;Boissons sans alcool/Café;28;0,5;0,9;2,5
Vinaigre;Divers/Sel, épices et arômes;22;0,1;0,7;0
"Sauce de salade vinaigre-huile"" (avec huile de colza)""";Graisses et huiles/Sauces à salade;326;0,7;4,6;33
Figue, sèche;Fruits/Fruits secs;273;3,2;56,8;1,2
Corégone / Lavaret, cru;Poisson/Poissons d'eau douce;101;19,2;0;2,7
Fenouil, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);23;1,1;2,3;0,3
Fenouil, cru;Légumes/Légumes frais;23;1,1;2,3;0,3
Poisson (moyenne), filet, à la vapeur (sans adjonction de graisse ni de sel);Poisson;171;25,3;0;7,8
Poisson (moyen), cru;"Poisson/Poissons d'eau douce;Poisson/Poissons de mer";137;20,2;0;6,2
Bâtonnet de poisson (pané et préfrit), grillé au colza HOLL;Poisson/Poissons de mer;310;17,6;16,6;19,1
Bâtonnet de poisson (pané et préfrit), au four (sans adjonction de graisse);Poisson/Poissons de mer;264;18,4;17,4;13,2
Bâtonnet de poisson, pané et préfrit;Poisson/Poissons de mer;232;16,2;15,3;11,6
Tarte flambée, cuite au four;Plats/Tartes sucrées et salées et gratins;268;9,3;22,9;15,1
Viande (moyenne sans abats), crue;"Viande et abats/Veau;Viande et abats/Volaille;Viande et abats/Agneau, mouton;Viande et abats/Bœuf;Viande et abats/Porc;Viande et abats/Gibier";145;21,5;0;6,6
Fromage d'Italie;Produits carnés et charcuterie/Produits de charcuterie bouillis;256;12,5;1,4;22,3
Lasagne de viande, préparée;Plats/Plats italiens;156;9,7;12,9;6,9
Flet, filet, à la vapeur (sans adjonction de graisse ni de sel);Poisson/Poissons de mer;90;20,6;0;0,9
Flet, cru;Poisson/Poissons de mer;72;16,5;0;0,7
Fondue sans alcool, préparé;Plats/Autres plats salés/épicés;281;19,4;1,6;21,8
Fondue classique, préparé;Plats/Autres plats salés/épicés;308;20,6;1,1;23,1
Fondue moitié-moitié, préparé;Plats/Autres plats salés/épicés;282;17,6;1;21,4
Truite, entière, bouillie (sans adjonction de graisse ni de sel);Poisson/Poissons d'eau douce;159;20;0;8,8
Truite, cru;Poisson/Poissons d'eau douce;127;16;0;7
Pain perdu non sucré;Plats/Autres plats sucrés;224;8;24,9;10
Vacherin fribourgeois;Lait et produits laitiers/Fromage à pâte dure;372;24;0;30,4
Fromage frais, double crème;Lait et produits laitiers/Fromage frais et séré;338;7,9;4,5;32,1
Fruit (moyenne), cuit (sans adjonction de sucre);Fruits/Fruits cuits (conserves comprises);64;0,6;13,1;0,4
Fruits (moyenne), séchés;Fruits/Fruits secs;276;2,8;58,1;0,9
Jus de fruit dilué (60% jus - 40 % eau), non sucré (moyenne);Boissons sans alcool/Jus de fruits et de légumes;31;0,2;7,2;0,2
Jus de fruit, non sucré (moyenne);"Fruits/Jus de fruits;Boissons sans alcool/Jus de fruits et de légumes";52;0,3;12;0,3
Macédoine de fruits, sucrée, conserve;Fruits/Fruits cuits (conserves comprises);78;0,5;17,7;0,2
Macédoine de fruits, non sucrée, conserve;Fruits/Fruits cuits (conserves comprises);53;0,5;11,3;0,2
Tarte aux fruits (moyenne);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";155;2,9;16,8;7,7
Tarte aux fruits, pâte feuilletée (moyenne);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";136;2,6;14,7;6,9
Tarte aux fruits, pâte à gateau (moyenne);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";128;3;16,9;4,8
Tarte aux fruits, cuite au four, pâte brisée sucrée (moyenne);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";200;3,2;18,8;11,4
Bière aux cinq céréales;Boissons alcoolisées/Bière;40;0,6;2;0
Crevette, cuite;Poisson/Fruits de mer et crustacés;59;12;1,3;0,6
Crevette, crue;Poisson/Fruits de mer et crustacés;56;11,4;1,2;0,6
Viande de volaille (moyenne sans abats), crue;Viande et abats/Volaille;131;21,9;0;4,8
Viande de volaille avec peau (moyenne), crue;Viande et abats/Volaille;151;20,7;0;7,6
Viande de volaille sans peau (moyenne sans abats), crue;Viande et abats/Volaille;114;22,9;0,1;2,5
Charcuterie  de volaille;Produits carnés et charcuterie/Produits de charcuterie bouillis;205;13,5;0,9;16,4
Viande hachée (moyenne boeuf, veau, porc, poulet), grillée (sans adjonction de graisse ni de sel);Viande et abats;179;27,3;0;7,8
Viande hachée (moyenne de veau, boeuf, porc, poulet), crue;"Viande et abats/Veau;Viande et abats/Bœuf;Viande et abats/Porc;Viande et abats/Volaille";142;21,6;0;6,2
Légumes (moyenne), crus;Légumes/Légumes frais;27;1,3;3,7;0,3
Gratin de légumes, cuit au four;Plats/Tartes sucrées et salées et gratins;57;3;2,3;3,6
Lasagne de légume, préparée;Plats/Plats italiens;135;4,8;11,7;7,4
Orge, flocons;Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes;330;7,9;66,1;1,5
Orge, flocons complets;Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes;330;7,9;66,1;1,5
Potée à l'orge, cuite;Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers;136;3,4;24,8;2,2
Emincé (moyenne de veau, boeuf, porc, volaille), grillée (sans adjonction de graisse ni de sel);Viande et abats;161;30;0,1;4,5
Viande émincée (moyenne de veau, boeuf, porc, poulet), crue;"Viande et abats/Veau;Viande et abats/Porc;Viande et abats/Bœuf;Viande et abats/Volaille";118;21,9;0,1;3,3
Flocons de céréales (moyenne);Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes;344;10,2;63,9;3,3
Croissant (moyenne);Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;406;8;40,4;23
Fromage aux herbes glaronnais ;Lait et produits laitiers/Fromage frais et séré;134;32,3;0;0,5
Gorgonzola;Lait et produits laitiers/Fromage à pâte dure;359;19,4;0,1;31,2
Gruyère, gras;Lait et produits laitiers/Fromage à pâte dure;399;27;0;32
Semoule, préparée (avec du lait partiellement écrémé);Sucreries/Crèmes et pouding;95;4,8;12;3
Semoule, préparée (avec du lait entier);Sucreries/Crèmes et pouding;95;4,8;12;3
Tranche de semoule, préparée (avec du lait partiellement écrémé);Plats/Autres plats salés/épicés;146;6,3;15,4;6,4
Tranche de semoule, préparée (avec du lait entier);Plats/Autres plats salés/épicés;156;6,3;15,4;7,5
Bonhomme en pâte;Sucreries/Autres articles de pâtisserie;330;9,2;46,9;11,2
Kouglof façon Grand-mère;Sucreries/Gâteaux, tourtes et cakes;459;8,3;32,7;32,1
Soupe goulache;Plats/Potages et soupes;67;4,8;6,3;2,4
Bonbon gélifié à l'arome de fruit;Sucreries/Bonbons, bonbons gélifiés aux fruits et chewing-gums;341;6,6;78,6;0
Cornichon au vinaigre;Légumes/Légumes cuits (conserves comprises);14;0,7;2,1;0,1
Concombre, cru;Légumes/Légumes frais;13;0,7;2;0,1
Rôti de viande hachée, cuit au four;Plats/Autres plats salés/épicés;197;17,1;8,2;10,5
Hamburger (boeuf), grillé au colza HOLL;Viande et abats/Bœuf;204;20,4;6,4;10,6
Porridge, préparé (avec du lait partiellement écrémé);Sucreries/Crèmes et pouding;133;6,4;18,3;3,6
Porridge, préparé (avec du lait entier);Sucreries/Crèmes et pouding;150;6,4;16;6,3
Avoine, flocons;Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes;372;13,5;57,5;7,5
Son d'avoine;Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes;366;17,3;50,8;7
Beurre mi-gras;"Graisses et huiles/Graisses;Lait et produits laitiers/Crème et beurre";388;4;3,5;39,8
Demi-crème, pasteurisée;"Graisses et huiles/Crème;Lait et produits laitiers/Crème et beurre";274;2,3;3,3;27,9
Demi-crème, UHT;"Graisses et huiles/Crème;Lait et produits laitiers/Crème et beurre";251;2,6;3,7;25,1
Pain mi-blanc;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;240;9,4;46,4;1,1
Fromage à pâte dure et mi-dure, grasse (en moyenne);Lait et produits laitiers/Fromage à pâte dure;400;27,2;0;32,1
Bonbon dur;Sucreries/Bonbons, bonbons gélifiés aux fruits et chewing-gums;385;0,5;95;0,3
Semoule de blé dur, sèche;Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers;351;12,6;70,4;1,2
Lièvre (moyenne), cru;Viande et abats/Autres espèces animales;115;22;0;3
Noisette;Noix, graines et produits oléagineux;643;15,2;6,9;59,5
Pâte à tartiner aux noisettes et au chocolat;Sucreries/Confitures et produits à tartiner sucrés;546;5,8;55,6;32,7
Biscuits aux noisettes;Sucreries/Biscuits;473;6,7;47,4;27,7
